LICENSE DESCRIPTION,count
Limited Business License,29100
Retail Food Establishment,10243
Home Occupation,4213
Home Repair,3468
Regulated Business License,3269
Tobacco,3136
Consumption on Premises - Incidental Activity,2348
Massage Therapist,1489
Motor Vehicle Repair : Engine Only (Class II),1381
Hazardous Materials,1347
"Peddler, non-food",1196
Street Performer,1001
Package Goods,738
Residential Real Estate Developer,712
"Peddler, food (fruits and vegtables only)",681
Tavern,658
Broker,635
Public Place of Amusement,556
Motor Vehicle Repair: Engine/Body(Class III),550
Mobile Food Dispenser,521
Electronic Equipment Repair,519
Outdoor Patio,508
Day Care Center 2 - 6 Years,507
Massage Establishment,497
"Scavenger, Private",432
Commercial Garage,382
Mobile Frozen Desserts Dispenser - Non-Motorized,359
Wholesale Food Establishment,359
Filling Station,342
Valet Parking Operator,328
Motor Vehicle Repair; Specialty(Class I),292
Manufacturing Establishments,290
Motor Vehicle Services License,286
"Tire Facilty Class I (100 - 1,000 Tires)",282
Children's Services Facility License,243
Day Care Center Under 2 and 2 - 6 Years,240
Late Hour,227
Accessory Garage,225
Secondhand Dealer,223
"Peddler, non-food, special",211
Hotel,210
Peddler License,199
Retail Computing Center,176
Junk Peddler,173
Raffles,155
Kennels and Catteries,147
Children's Activities Facilities,146
Automatic Amusement Device Operator,139
Caterer's Liquor License,135
Day Care Center Under 2 Years,128
Shared Kitchen User (Long Term),127
"Laundry, Late Hour",122
Long-Term Care Facility,120
Secondhand Dealer (No Valuable Objects),120
Mobile Food License,120
Animal Care Facility,112
Animal Care License,111
"Peddler,food - (fruits and vegetables only) - special",110
Grooming Facility,105
Music and Dance,105
Veterinary Hospital,101
Expediter - Class B,90
Vacation Rental,88
Expediter - Class B Employee,87
Pet Shop,83
"Explosives, Certificate of Fitness",80
Body Piercing,79
Public Place of Amusement (PAV),78
Expediter - Class A,77
Single Room Occupancy Class I,68
Tobacco Dealer Wholesale,64
Pharmaceutical Representative,59
Auctioneer,56
"Tire Facility Class II (1,001 - 5,000 Tires)",54
Navy Pier Vendor (Non-Food),50
Hospital,45
Laboratories,44
Day Labor Agency,41
Not-For-Profit Club,38
Repossessor Class A,37
Board-Up Work,36
Repossessor Class B Employee,33
"Tobacco Vending, Individual",31
Private Booting Registration,31
Food - Shared Kitchen - Supplemental,29
Night Care Privilege,27
Single Room Occupancy Class II,27
Bed-And-Breakfast Establishment,25
Retail Food Est.-Supplemental License for Dog-Friendly Areas,23
Special Event Food,23
Explosives,22
Caterer's Registration (Liquor),20
Shared Housing Unit Operator,19
Pawnbroker,19
Wrigley Field,18
Humane Society,16
Public Place of Amusement-TCC,15
Pop-Up Retail User,15
Produce Merchant,13
Commercial Passenger Vessel,13
Secondhand Dealer - Children's Products,12
Animal Exhibition,12
Navy Pier - Outdoor Fixed,11
Weapons Dealer,9
Special Event Liquor,8
Tobacco Sampler,7
Emerging Business,7
Assisted Living/Shared Housing Establishment,6
Navy Pier - Mobile,6
Bicycle Messenger Service,6
Industrial Private Event Venue,5
Repossessor Class B,4
Riverwalk Venue Liquor License,4
Shared Kitchen User (Short Term),4
"Tire Facility Class III (5,001 - More Tires)",4
Transportation Network Provider,3
Affiliation,3
Taxicab Two-Way Dispatch Service License,3
Liquor Airport Pushcart License,3
Food - Shared Kitchen,3
Private Booting Operation,3
Pop-Up Establishment Host - Tier II,3
Class A - Indoor Special Event,3
Airport Pushcart Liquor O'Hare - Class A,2
Tobacco Vending Machine Operator,2
License Broker,2
License Manager,2
Scooter Sharing License,2
Pop-Up Establishment Host - Tier III,2
Airport Pushcart Liquor Midway - Class A,1
Navy Pier Kiosk License,1
Indoor Special Event,1
Navy Pier Vendor (Food),1
Towing - Tow Truck,1
