WARD,LICENSE DESCRIPTION,count
1.0,Animal Care Facility,2
1.0,Animal Care License,1
1.0,Auctioneer,2
1.0,Bed-And-Breakfast Establishment,5
1.0,Bicycle Messenger Service,1
1.0,Body Piercing,7
1.0,Broker,8
1.0,Caterer's Liquor License,3
1.0,Children's Activities Facilities,5
1.0,Children's Services Facility License,4
1.0,Commercial Garage,1
1.0,Consumption on Premises - Incidental Activity,136
1.0,Day Care Center 2 - 6 Years,8
1.0,Day Care Center Under 2 and 2 - 6 Years,1
1.0,Day Labor Agency,2
1.0,Electronic Equipment Repair,11
1.0,Expediter - Class A,4
1.0,Expediter - Class B,1
1.0,Expediter - Class B Employee,1
1.0,Filling Station,4
1.0,Food - Shared Kitchen,1
1.0,Food - Shared Kitchen - Supplemental,1
1.0,Grooming Facility,7
1.0,Hazardous Materials,13
1.0,Home Occupation,147
1.0,Home Repair,40
1.0,Hospital,2
1.0,Hotel,1
1.0,Junk Peddler,2
1.0,Kennels and Catteries,8
1.0,Laboratories,1
1.0,Late Hour,7
1.0,"Laundry, Late Hour",5
1.0,Limited Business License,673
1.0,Long-Term Care Facility,2
1.0,Manufacturing Establishments,3
1.0,Massage Establishment,35
1.0,Massage Therapist,24
1.0,Mobile Food Dispenser,6
1.0,Mobile Food License,1
1.0,Motor Vehicle Repair : Engine Only (Class II),28
1.0,Motor Vehicle Repair: Engine/Body(Class III),7
1.0,Motor Vehicle Repair; Specialty(Class I),8
1.0,Motor Vehicle Services License,7
1.0,Music and Dance,4
1.0,Night Care Privilege,1
1.0,Outdoor Patio,30
1.0,Package Goods,30
1.0,Pawnbroker,2
1.0,Peddler License,2
1.0,"Peddler, food (fruits and vegtables only)",6
1.0,"Peddler, non-food",5
1.0,"Peddler, non-food, special",1
1.0,"Peddler,food - (fruits and vegetables only) - special",3
1.0,Pet Shop,4
1.0,Pop-Up Retail User,1
1.0,Private Booting Registration,10
1.0,Produce Merchant,2
1.0,Public Place of Amusement,37
1.0,Public Place of Amusement (PAV),4
1.0,Regulated Business License,59
1.0,Residential Real Estate Developer,15
1.0,Retail Computing Center,3
1.0,Retail Food Est.-Supplemental License for Dog-Friendly Areas,3
1.0,Retail Food Establishment,327
1.0,Secondhand Dealer,5
1.0,Secondhand Dealer (No Valuable Objects),6
1.0,Shared Housing Unit Operator,1
1.0,Shared Kitchen User (Long Term),7
1.0,Single Room Occupancy Class I,3
1.0,Special Event Food,1
1.0,Street Performer,18
1.0,Tavern,26
1.0,"Tire Facilty Class I (100 - 1,000 Tires)",9
1.0,Tobacco,79
1.0,Tobacco Dealer Wholesale,2
1.0,Tobacco Sampler,1
1.0,"Tobacco Vending, Individual",2
1.0,Valet Parking Operator,15
1.0,Veterinary Hospital,4
1.0,Weapons Dealer,1
1.0,Wholesale Food Establishment,8
2.0,Accessory Garage,43
2.0,Animal Care Facility,5
2.0,Animal Care License,3
2.0,Auctioneer,1
2.0,Bed-And-Breakfast Establishment,3
2.0,Body Piercing,2
2.0,Broker,16
2.0,Caterer's Liquor License,13
2.0,Children's Activities Facilities,7
2.0,Children's Services Facility License,2
2.0,Commercial Garage,41
2.0,Consumption on Premises - Incidental Activity,232
