ward,closures,biz_exposure,rate_per_1k,rate_per_1k_eb
42,6487,3251,1995.3860350661334,1995.0921552316304
34,3697,2169,1704.4721069617335,1704.7666322608889
27,3033,2030,1494.088669950739,1494.970862558418
2,2228,1029,2165.2089407191447,2163.382395751799
32,2223,1179,1885.4961832061067,1885.1976647259548
44,2100,969,2167.1826625387,2165.2325343558373
1,1973,1167,1690.6598114824335,1691.2707230459632
47,1926,1142,1686.5148861646235,1687.158942476231
25,1924,1185,1623.6286919831225,1624.5395497480326
33,1797,776,2315.721649484536,2312.2461956382062
45,1579,834,1893.2853717026378,1892.8132234223633
31,1551,729,2127.572016460905,2125.280806289138
35,1527,787,1940.2795425667089,1939.4537698317197
11,1515,1058,1431.9470699432893,1433.9564197295208
43,1466,838,1749.403341288783,1749.8701124098457
40,1459,670,2177.6119402985073,2174.713824407184
28,1453,822,1767.6399026763988,1767.9946824630556
36,1415,748,1891.7112299465239,1891.196664631077
39,1326,765,1733.3333333333335,1733.9588571397921
30,1276,621,2054.7504025764893,2052.702492947026
50,1249,622,2008.038585209003,2006.4027144374213
46,1248,598,2086.9565217391305,2084.5375190136383
22,1235,610,2024.5901639344263,2022.7747323582023
12,1220,1420,859.1549295774647,862.8604793896432
26,1218,664,1834.3373493975903,1834.228803807088
48,1191,597,1994.9748743718594,1993.390188372875
4,1190,751,1584.5539280958722,1586.2709799283982
41,1165,818,1424.205378973105,1426.8519607732926
37,1154,610,1891.8032786885246,1891.1725208553796
15,1147,529,2168.241965973535,2164.6755843135006
14,1125,738,1524.3902439024391,1526.581667320354
3,1091,658,1658.0547112462004,1659.4041320263184
49,1077,517,2083.1721470019343,2080.417906939164
16,1076,423,2543.7352245862885,2534.4745920724336
6,1065,518,2055.984555984556,2053.5207622755215
29,1054,596,1768.4563758389263,1768.937004243837
8,1015,531,1911.487758945386,1910.562642448159
24,998,414,2410.6280193236717,2402.9110890693473
18,975,550,1772.7272727272727,1773.2054828356356
21,949,519,1828.5163776493257,1828.4387665605059
38,933,492,1896.341463414634,1895.5110047571839
23,929,559,1661.896243291592,1663.4449552759856
10,883,485,1820.618556701031,1820.6239839102357
19,878,516,1701.550387596899,1702.8092513528923
20,818,395,2070.886075949367,2067.461278537069
17,816,377,2164.4562334217508,2159.526939573787
13,793,521,1522.0729366602689,1525.1917519257222
9,784,339,2312.684365781711,2304.848582348617
5,714,449,1590.2004454342984,1592.9902213475043
7,646,276,2340.5797101449275,2330.4460478720325
